# nrNodes DER PacketSeq RecPackets LostPackets CollidedPackets
100 0.16597567717 7236 1201 5985 50
100 0.104673672566 7232 757 6437 38
100 0.158181818182 7150 1131 5956 62
100 0.191110507 7357 1406 5837 114
100 0.150857142857 7000 1056 5875 69
100 0.219141449683 7105 1557 5423 125
100 0.149050371594 7266 1083 6092 90
100 0.23105385775 7297 1686 5480 131
100 0.225947316523 7099 1604 5366 129
100 0.191919191919 7227 1387 5732 106
100 0.173314801946 7195 1247 5865 83
100 0.212844286883 7334 1561 5662 111
100 0.190278354799 7221 1374 5746 100
100 0.188928669788 7262 1372 5783 107
100 0.185463659148 7182 1332 5756 94
100 0.203619284432 7239 1474 5646 119
100 0.153719912473 7312 1124 6140 48
100 0.184539704849 7115 1313 5697 105
100 0.145789399691 7113 1037 6039 37
100 0.179385530228 7063 1267 5714 81
100 0.222860267979 7314 1630 5533 151
100 0.250809745106 7101 1781 5175 145
100 0.204222378607 7105 1451 5503 151
100 0.209344239567 7213 1510 5596 107
100 0.156070979461 7157 1117 5975 65
100 0.206606942889 7144 1476 5554 114
1000 0.0586371497752 72275 4238 66557 1479
1000 0.0630875287236 71805 4530 65477 1798
1000 0.058212173913 71875 4184 66123 1567
1000 0.054894262763 71829 3943 66729 1157
